City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
184,Khash,IR,28.2211,61.2158,44.38,52,0,1.34,clear sky
185,Isangel,VU,-19.55,169.2667,82.4,83,75,6.17,broken clouds
186,Aklavik,CA,68.2191,-135.0107,-7.6,71,40,2.3,scattered clouds
187,Terracina,IT,41.2863,13.2217,50.0,90,100,4.0,overcast clouds
188,Nusaybin,TR,37.0778,41.2178,46.4,66,0,6.91,clear sky
189,Anaimalai,IN,10.5833,76.9333,66.2,82,20,4.14,mist
190,Cockburn Town,TC,21.4612,-71.1419,75.2,83,40,17.27,scattered clouds
191,Baherden,TM,38.4362,57.4316,51.28,49,0,7.58,clear sky
192,Dryden,CA,49.7833,-92.7503,-16.6,58,90,3.44,overcast clouds
193,Asuncion,PY,-25.3007,-57.6359,78.8,69,0,4.61,clear sky
194,Pampas,PE,-12.4,-74.9,48.4,76,100,6.82,overcast clouds
195,Batagay,RU,67.6333,134.6333,-15.48,85,0,1.01,clear sky
196,Otaki,NZ,-40.7583,175.15,69.01,70,0,7.0,clear sky
197,Ribeira Grande,PT,38.5167,-28.7,60.6,78,100,28.88,overcast clouds
198,Bosaso,SO,11.2842,49.1816,70.34,56,85,2.64,overcast clouds
199,Port Elizabeth,ZA,-33.918,25.5701,75.2,94,40,14.97,scattered clouds
200,Margate,GB,51.3813,1.3862,30.0,58,8,8.01,clear sky
201,Sanchor,IN,24.7553,71.7722,53.33,55,37,0.83,scattered clouds
202,Neuquen,AR,-38.9516,-68.0591,82.4,36,0,8.05,clear sky
203,Half Moon Bay,US,37.4636,-122.4286,55.99,82,90,10.36,overcast clouds
204,Cape Town,ZA,-33.9258,18.4232,68.0,88,0,9.22,clear sky
205,Laje,BR,-10.1833,-40.9667,72.57,65,0,9.44,clear sky
206,Cabo San Lucas,MX,22.8909,-109.9124,68.0,72,1,13.8,clear sky
207,Itarema,BR,-2.9248,-39.9167,80.02,81,75,11.54,broken clouds
208,Envira,BR,-7.3,-70.2167,73.89,97,100,1.32,overcast clouds
209,Sesheke,ZM,-17.4759,24.2968,65.64,98,100,0.25,heavy intensity rain
210,Batesville,US,35.7698,-91.641,26.01,68,90,6.91,overcast clouds
211,Chincha Alta,PE,-13.4099,-76.1323,73.4,78,0,16.11,clear sky
212,Mariental,NA,-24.6333,17.9667,66.63,80,100,6.29,light rain
213,Namibe,AO,-15.1961,12.1522,73.27,75,22,0.94,few clouds
214,Baruun-Urt,MN,46.6806,113.2792,-5.69,84,82,4.0,broken clouds
215,Dakar,SN,14.6937,-17.4441,64.4,82,0,11.5,clear sky
216,Ilulissat,GL,69.2167,-51.1,6.8,78,75,1.14,broken clouds
217,Thinadhoo,MV,0.5333,72.9333,82.45,67,100,10.65,overcast clouds
218,Atuona,PF,-9.8,-139.0333,79.14,78,4,14.56,clear sky
219,Hasaki,JP,35.7333,140.8333,50.0,66,20,3.44,few clouds
220,Urambo,TZ,-5.0667,32.05,64.96,92,93,1.43,overcast clouds
221,Blankenberge,BE,51.3131,3.1323,23.0,72,0,4.0,clear sky
222,Dubbo,AU,-32.25,148.6167,73.4,83,90,6.91,overcast clouds
223,Severo-Kurilsk,RU,50.6789,156.125,28.63,95,100,6.13,overcast clouds
224,Carlos Barbosa,BR,-29.2975,-51.5036,69.01,94,100,3.87,overcast clouds
225,Ulaangom,MN,49.9811,92.0667,-10.66,83,12,0.94,few clouds
226,Kavaratti,IN,10.5669,72.642,80.53,63,40,6.02,scattered clouds
227,Cortez,US,37.3489,-108.5859,42.8,61,40,3.06,scattered clouds
228,Camocim,BR,-2.9022,-40.8411,79.36,83,100,11.88,overcast clouds
229,Campos,BR,-21.75,-41.3,76.15,82,100,6.93,heavy intensity rain
230,Ambilobe,MG,-13.2,49.05,73.22,94,92,2.64,overcast clouds
231,Tual,ID,-5.6667,132.75,84.22,75,99,10.51,overcast clouds
232,Ponta Do Sol,PT,32.6667,-17.1,55.99,74,0,5.01,clear sky
233,Robe,AU,-37.1833,139.75,62.4,70,1,10.18,clear sky
234,Sitka,US,57.0531,-135.33,39.2,24,20,20.71,few clouds
235,Revelstoke,CA,50.9832,-118.2023,14.0,52,1,2.3,clear sky
236,Tabou,CI,4.423,-7.3528,78.62,90,0,7.61,clear sky
237,Rabo De Peixe,PT,37.8,-25.5833,60.01,94,20,12.66,few clouds
238,Luderitz,NA,-26.6481,15.1594,63.41,86,15,5.32,few clouds
239,Eyrarbakki,IS,63.863,-21.1481,41.0,65,90,19.57,overcast clouds
240,Ruteng,ID,-8.6136,120.4721,72.3,78,96,1.88,overcast clouds
241,Najran,SA,17.4924,44.1277,55.4,44,0,2.62,clear sky
242,Olafsvik,IS,64.8945,-23.7142,39.74,72,100,26.75,light rain
243,Husavik,IS,66.0449,-17.3389,35.6,69,0,14.97,clear sky
244,Dunkwa,GH,5.9656,-1.78,76.53,90,0,3.96,clear sky
245,Fort-Shevchenko,KZ,44.5086,50.263,46.98,75,99,26.02,overcast clouds
246,Majene,ID,-3.5403,118.9707,79.88,82,100,3.0,moderate rain
247,Mataram,ID,-8.5833,116.1167,82.4,74,40,4.61,scattered clouds
248,Nakatunguru,TZ,-2.1167,33.0667,72.57,77,100,11.32,overcast clouds
249,Pilar,BR,-9.5972,-35.9567,75.2,94,40,3.44,scattered clouds
250,Rio Grande,BR,-32.035,-52.0986,70.0,93,100,13.06,moderate rain
251,Taoudenni,ML,22.6783,-3.9836,68.61,19,0,14.74,clear sky
252,Guerrero Negro,MX,27.9769,-114.0611,60.89,71,72,18.28,broken clouds
