City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Batemans Bay,AU,2021-02-07 01:51:54,-35.7167,150.1833,75.0,73,55,3.0
279,Yulara,AU,2021-02-07 01:54:51,-25.2406,130.9889,86.0,23,0,17.27
280,Kavieng,PG,2021-02-07 01:51:06,-2.5744,150.7967,85.33,64,29,2.33
281,Ulaangom,MN,2021-02-07 01:54:52,49.9811,92.0667,-8.43,86,28,1.79
282,Sinnai,IT,2021-02-07 01:54:52,39.3042,9.2036,69.8,43,0,13.8
283,Parrita,CR,2021-02-07 01:53:22,9.5201,-84.3225,73.4,88,75,4.61
284,Palimbang,PH,2021-02-07 01:54:53,6.2106,124.1894,84.45,60,100,2.91
285,Isiro,CD,2021-02-07 01:54:53,2.7739,27.616,61.16,35,6,1.72
286,Kathu,TH,2021-02-07 01:50:47,7.9178,98.3332,78.8,78,20,3.44
287,Valentin Gomez Farias,MX,2021-02-07 01:54:54,28.2167,-106.5833,59.0,26,14,1.99
288,Suntar,RU,2021-02-07 01:54:54,62.1444,117.6319,-14.44,89,100,2.82
289,Troitskoye,RU,2021-02-07 01:54:54,52.9821,84.6757,27.3,93,75,13.44
290,Thunder Bay,CA,2021-02-07 01:54:54,48.4001,-89.3168,-7.01,59,90,16.11
291,Ngerengere,TZ,2021-02-07 01:54:54,-6.75,38.1167,75.2,94,40,3.42
292,Namatanai,PG,2021-02-07 01:54:55,-3.6667,152.4333,86.16,63,86,6.6
